column_0,2008_SW,2008_SW_ct,2008_no_SW,2008_no_SW_ct,2009_SW,2009_SW_ct,2009_no_SW,2009_no_SW_ct,2010_SW,2010_SW_ct,2010_no_SW,2010_no_SW_ct,2011_SW,2011_SW_ct,2011_no_SW,2011_no_SW_ct,2012_SW,2012_SW_ct,2012_no_SW,2012_no_SW_ct,2013_SW,2013_SW_ct,2013_no_SW,2013_no_SW_ct,2014_SW,2014_SW_ct,2014_no_SW,2014_no_SW_ct,2015_SW,2015_SW_ct,2015_no_SW,2015_no_SW_ct,2016_SW,2016_SW_ct,2016_no_SW,2016_no_SW_ct,2017_SW,2017_SW_ct,2017_no_SW,2017_no_SW_ct,2018_SW,2018_SW_ct,2018_no_SW,2018_no_SW_ct,2019_SW,2019_SW_ct,2019_no_SW,2019_no_SW_ct,2020_SW,2020_SW_ct,2020_no_SW,2020_no_SW_ct
40,from,12427,first,4060,out,14767,restaurant,5124,there,19466,want,6696,our,19368,always,6691,get,19511,think,6580,get,18816,nice,6261,would,17367,staff,6043,get,16306,much,5644,would,15357,minutes,5345,just,14902,took,5185,just,14692,took,5030,just,14558,two,5084,an,14938,know,5136
41,there,12402,still,3978,there,14551,love,4971,from,19104,order,6626,there,19177,better,6585,would,19278,made,6512,would,18477,always,6253,get,17128,know,5890,would,16125,minutes,5575,get,15343,always,5337,would,14889,restaurant,5007,would,14647,two,5002,would,14520,restaurant,4995,very,14860,it.,5100
42,one,12218,two,3874,all,14217,better,4967,if,18654,restaurant,6614,from,19062,restaurant,6578,there,19121,asked,6383,there,17697,staff,6204,from,16528,made,5882,like,16039,always,5530,like,14789,much,5242,like,13982,always,4971,from,13909,wait,4996,from,13873,know,4933,just,14593,-,5094
43,out,12163,restaurant,3799,one,14209,want,4890,good,18644,best,6584,very,19003,best,6506,or,18985,better,6342,or,17524,come,6178,We,16528,always,5785,from,15303,made,5433,from,14554,nice,5230,from,13931,nice,4955,an,13892,know,4928,an,13774,always,4868,their,14287,two,4880
44,if,12042,around,3787,me,14102,try,4738,very,18614,try,6306,would,18719,made,6487,from,18704,want,6331,from,17403,pretty,6102,there,15890,minutes,5521,an,14959,know,5393,an,14221,took,5222,an,13763,much,4930,like,13401,take,4789,like,13718,take,4827,up,13665,give,4863
45,food,11832,better,3784,very,14040,made,4731,our,18476,made,6162,if,18155,told,6417,if,17756,come,6316,an,16714,try,5899,or,15663,restaurant,5485,there,14908,took,5344,there,14055,know,5066,there,13457,take,4926,there,13239,always,4765,there,13329,another,4669,or,13223,still,4763
46,their,11574,come,3658,if,13778,order,4652,about,17990,come,5890,about,18152,want,6407,an,17571,always,6274,if,16505,restaurant,5888,an,15606,took,5481,or,14583,take,5250,or,13720,take,4976,or,13048,little,4909,or,12693,another,4746,all,12893,give,4654,place,13167,took,4723
47,some,11464,see,3633,about,13268,bar,4647,all,17939,take,5872,good,17918,try,6361,about,17426,take,6261,We,16377,took,5813,if,15333,pretty,5475,if,14073,restaurant,5063,one,13356,give,4886,one,12897,know,4863,all,12627,nice,4684,or,12722,nice,4652,all,13091,new,4649
48,can,11184,bit,3611,an,13032,come,4509,one,17832,way,5852,all,17889,way,6172,one,17343,restaurant,6243,one,16276,take,5776,one,14892,try,5463,one,14019,best,5044,if,13286,try,4861,if,12635,give,4768,if,12534,little,4659,if,12471,still,4621,like,12752,minutes,4639
49,really,11084,take,3608,their,12742,still,4478,would,17641,love,5814,one,17888,come,6109,all,17051,try,6172,about,16219,better,5764,about,14782,take,5442,all,13764,chicken,5043,all,13189,restaurant,4781,all,12616,chicken,4753,one,12450,much,4614,one,12366,much,4609,when,12589,2,4625
50,me,10937,try,3555,some,12527,take,4385,an,17171,still,5782,an,17627,take,6011,good,16778,staff,6030,all,16128,want,5720,all,14689,want,5282,their,13688,give,5018,their,12987,chicken,4676,their,12371,another,4742,their,12141,give,4578,time,12354,little,4573,time,12460,another,4530
51,very,10776,way,3550,null,12476,way,4367,their,16810,said,5776,their,17114,asked,5968,their,16681,best,5910,their,15765,think,5647,their,14626,best,5183,good,13607,try,4970,up,12688,another,4670,time,12308,try,4671,time,11960,try,4555,their,12334,wait,4564,They,12434,recommend,4467
52,an,10696,many,3529,up,12317,menu,4351,up,16172,give,5702,up,16307,still,5961,We,16562,give,5870,good,15632,minutes,5622,good,14508,still,5182,about,13431,want,4871,about,12538,want,4592,good,12147,best,4552,up,11824,still,4500,up,12262,chicken,4483,there,12416,&,4447
53,about,10658,ordered,3471,our,12202,say,4256,when,15790,say,5667,when,16005,give,5877,up,16078,still,5743,up,15553,best,5510,up,13998,another,5160,up,13030,another,4843,good,12511,best,4584,up,12106,wait,4539,when,11804,want,4497,when,11938,try,4437,if,12281,want,4405
54,up,10469,made,3456,really,12157,around,4231,really,15752,bar,5485,We,15443,say,5820,when,15636,minutes,5691,when,14847,give,5497,when,13740,give,5149,when,12806,&,4806,time,12417,still,4565,about,11792,still,4520,good,11692,2,4328,back,11700,2,4413,no,12214,much,4364
55,it's,10324,something,3419,would,12142,find,4166,some,15560,around,5468,go,14955,staff,5732,been,14398,took,5680,been,13627,still,5443,time,13143,way,4993,time,12521,still,4716,when,12105,ever,4517,when,11697,want,4493,about,11580,customer,4316,about,11560,best,4408,will,12036,best,4351
